sampleId,nFlies,gds
AT_Kar_See_1_2014-08-17,40,TRUE
AT_Kar_See_1_2016-08-01,40,TRUE
AT_Nie_Mau_1_2014-07-20,40,TRUE
AT_Nie_Mau_1_2014-10-19,40,TRUE
AT_Nie_Mau_1_2015-07-20,40,TRUE
AT_Nie_Mau_1_2015-10-19,40,TRUE
AT_Wie_Gro_1_2012-08-03,62,TRUE
AT_Wie_Gro_1_2012-10-20,44,TRUE
AU_Que_Inn_-1_2014-02-15,586,TRUE
AU_Que_Inn_0_2014-02-15,634,TRUE
AU_Que_Inn_10_2014-02-15,24,TRUE
AU_Que_Inn_11_2014-02-15,24,TRUE
AU_Que_Inn_12_2014-02-15,24,TRUE
AU_Que_Inn_13_2014-02-15,72,TRUE
AU_Que_Inn_14_2014-02-15,72,TRUE
AU_Que_Inn_15_2014-02-15,125,TRUE
AU_Que_Inn_16_2014-02-15,125,TRUE
AU_Que_Inn_17_2014-02-15,72,TRUE
AU_Que_Inn_18_2014-02-15,72,TRUE
AU_Que_Inn_19_2014-02-15,24,TRUE
AU_Que_Inn_1_2014-02-15,24,TRUE
AU_Que_Inn_1_NA-MM-DD,22,TRUE
AU_Que_Inn_20_2014-02-15,24,TRUE
AU_Que_Inn_2_2014-02-15,24,TRUE
AU_Que_Inn_3_2014-02-15,72,TRUE
AU_Que_Inn_4_2014-02-15,72,TRUE
AU_Que_Inn_5_2014-02-15,125,TRUE
AU_Que_Inn_6_2014-02-15,125,TRUE
AU_Que_Inn_7_2014-02-15,72,TRUE
AU_Que_Inn_8_2014-02-15,72,TRUE
AU_Que_Inn_9_2014-02-15,24,TRUE
AU_Que_Isl_0_2014-03-15,634,TRUE
AU_Que_Isl_10_2014-03-15,24,TRUE
AU_Que_Isl_1_2014-03-15,24,TRUE
AU_Que_Isl_2_2014-03-15,72,TRUE
AU_Que_Isl_3_2014-03-15,125,TRUE
AU_Que_Isl_4_2014-03-15,72,TRUE
AU_Que_Isl_5_2014-03-15,24,TRUE
AU_Que_Isl_6_2014-03-15,24,TRUE
AU_Que_Isl_7_2014-03-15,72,TRUE
AU_Que_Isl_8_2014-03-15,125,TRUE
AU_Que_Isl_9_2014-03-15,72,TRUE
AU_Que_Que_1_2004-07-01,17,TRUE
AU_Que_Que_2_2004-07-01,17,TRUE
AU_Que_Yep_0_2014-05-16,634,TRUE
AU_Que_Yep_10_2014-05-16,24,TRUE
AU_Que_Yep_1_2014-05-16,24,TRUE
AU_Que_Yep_2_2014-05-16,72,TRUE
AU_Que_Yep_3_2014-05-16,125,TRUE
AU_Que_Yep_4_2014-05-16,72,TRUE
AU_Que_Yep_5_2014-05-16,24,TRUE
AU_Que_Yep_6_2014-05-16,24,TRUE
AU_Que_Yep_7_2014-05-16,72,TRUE
AU_Que_Yep_8_2014-05-16,125,TRUE
AU_Que_Yep_9_2014-05-16,72,TRUE
AU_Sou_MtG_0_2014-04-16,634,TRUE
AU_Sou_MtG_10_2014-04-16,24,TRUE
AU_Sou_MtG_1_2014-04-16,24,TRUE
AU_Sou_MtG_2_2014-04-16,72,TRUE
AU_Sou_MtG_3_2014-04-16,125,TRUE
AU_Sou_MtG_4_2014-04-16,72,TRUE
AU_Sou_MtG_5_2014-04-16,24,TRUE
AU_Sou_MtG_6_2014-04-16,24,TRUE
AU_Sou_MtG_7_2014-04-16,72,TRUE
AU_Sou_MtG_8_2014-04-16,125,TRUE
AU_Sou_MtG_9_2014-04-16,72,TRUE
AU_Tas_Hil_0_2014-04-16,634,TRUE
AU_Tas_Hil_10_2014-04-16,24,TRUE
AU_Tas_Hil_1_2014-04-16,24,TRUE
AU_Tas_Hil_2_2014-04-16,72,TRUE
AU_Tas_Hil_3_2014-04-16,125,TRUE
AU_Tas_Hil_4_2014-04-16,72,TRUE
AU_Tas_Hil_5_2014-04-16,24,TRUE
AU_Tas_Hil_6_2014-04-16,24,TRUE
AU_Tas_Hil_7_2014-04-16,72,TRUE
AU_Tas_Hil_8_2014-04-16,125,TRUE
AU_Tas_Hil_9_2014-04-16,72,TRUE
AU_Tas_Luc_0_2014-04-16,634,TRUE
AU_Tas_Luc_10_2014-04-16,24,TRUE
AU_Tas_Luc_1_2014-04-16,24,TRUE
AU_Tas_Luc_2_2014-04-16,72,TRUE
AU_Tas_Luc_3_2014-04-16,125,TRUE
AU_Tas_Luc_4_2014-04-16,72,TRUE
AU_Tas_Luc_5_2014-04-16,24,TRUE
AU_Tas_Luc_6_2014-04-16,24,TRUE
AU_Tas_Luc_7_2014-04-16,72,TRUE
AU_Tas_Luc_8_2014-04-16,125,TRUE
AU_Tas_Luc_9_2014-04-16,72,TRUE
AU_Tas_Sor_1_2004-07-01,18,TRUE
AU_Tas_Tas_1_2004-07-01,15,TRUE
AU_Tas_Tas_2_2004-07-01,15,TRUE
AU_Vic_Ham_0_2014-05-16,634,TRUE
AU_Vic_Ham_10_2014-05-16,24,TRUE
AU_Vic_Ham_1_2014-05-16,24,TRUE
AU_Vic_Ham_2_2014-05-16,72,TRUE
AU_Vic_Ham_3_2014-05-16,125,TRUE
AU_Vic_Ham_4_2014-05-16,72,TRUE
AU_Vic_Ham_5_2014-05-16,24,TRUE
AU_Vic_Ham_6_2014-05-16,24,TRUE
AU_Vic_Ham_7_2014-05-16,72,TRUE
AU_Vic_Ham_8_2014-05-16,125,TRUE
AU_Vic_Ham_9_2014-05-16,72,TRUE
AU_Vic_Mel_1_2021-04-19,40,TRUE
AU_Vic_Tah_1_2017-12-04,40,TRUE
AU_Vic_Yer_1_NA-MM-DD,22,TRUE
BR_Rio_San_1_2020-01-06,40,TRUE
BR_Sao_USP_1_2019-09-15,34,TRUE
BY_Bre_Bre_1_2015-09-11,40,TRUE
CA_New_StJ_0_2013-10-15,634,TRUE
CA_New_StJ_10_2013-10-15,24,TRUE
CA_New_StJ_1_2013-10-15,24,TRUE
CA_New_StJ_2_2013-10-15,72,TRUE
CA_New_StJ_3_2013-10-15,125,TRUE
CA_New_StJ_4_2013-10-15,72,TRUE
CA_New_StJ_5_2013-10-15,24,TRUE
CA_New_StJ_6_2013-10-15,24,TRUE
CA_New_StJ_7_2013-10-15,72,TRUE
CA_New_StJ_8_2013-10-15,125,TRUE
CA_New_StJ_9_2013-10-15,72,TRUE
CA_Nov_Gas_0_2013-10-15,634,TRUE
CA_Nov_Gas_10_2013-10-15,24,TRUE
CA_Nov_Gas_1_2013-10-15,24,TRUE
CA_Nov_Gas_2_2013-10-15,72,TRUE
CA_Nov_Gas_3_2013-10-15,125,TRUE
CA_Nov_Gas_4_2013-10-15,72,TRUE
CA_Nov_Gas_5_2013-10-15,24,TRUE
CA_Nov_Gas_6_2013-10-15,24,TRUE
CA_Nov_Gas_7_2013-10-15,72,TRUE
CA_Nov_Gas_8_2013-10-15,125,TRUE
CA_Nov_Gas_9_2013-10-15,72,TRUE
CA_Ont_Sud_1_2015-08-03,108,TRUE
CA_Ont_Sud_1_2015-09-30,110,TRUE
CH_Fri_Ors_1_2020-08-23,40,TRUE
CH_Vau_Cha_1_2014-07-24,40,TRUE
CH_Vau_Cha_1_2014-10-05,40,TRUE
CH_Vau_Cha_1_2015-08-01,40,TRUE
CH_Vau_Cha_1_2016-08-15,40,TRUE
CH_Vau_Vul_1_2018-09-18,40,TRUE
CH_Vau_Vul_1_2019-07-17,40,TRUE
CH_Vau_Vul_1_2019-09-24,40,TRUE
CH_Vau_Vul_1_2020-07-29,40,TRUE
CH_Vau_Vul_1_2020-09-15,40,TRUE
CM_Nor_Oku_1_2004-04-15,10,TRUE
CN_Bei_Bei_1_1992-09-16,15,TRUE
CO_Cun_LaV_1_2019-02-21,40,TRUE
CO_Cun_Tab_1_2019-12-20,39,TRUE
CO_Mag_Sie_1_2019-07-24,40,TRUE
CO_Tol_Gir_1_2019-04-04,40,TRUE
CO_Tol_Mel_1_2019-06-11,40,TRUE
CY_Nic_Nic_1_2014-08-10,40,TRUE
DE_Bad_Bro_1_2014-06-26,40,TRUE
DE_Bad_Bro_1_2014-10-15,40,TRUE
DE_Bad_Bro_1_2015-06-30,40,TRUE
DE_Bad_Bro_1_2015-10-25,40,TRUE
DE_Bad_Bro_1_2016-07-24,40,TRUE
DE_Bad_Bro_1_2016-10-23,40,TRUE
DE_Bad_Bro_1_2017-06-27,40,TRUE
DE_Bad_Bro_1_2018-06-26,40,TRUE
DE_Bad_Bro_1_2019-07-03,39,TRUE
DE_Bad_Bro_1_2020-07-16,40,TRUE
DE_Bad_Bro_1_2020-10-24,40,TRUE
DE_Bad_Bro_1_2021-07-21,40,TRUE
DE_Bad_Bro_1_2021-10-20,40,TRUE
DE_Bad_Wal_1_2019-10-02,40,TRUE
DE_Bad_Wal_1_2020-10-02,20,TRUE
DE_Bay_Mun_1_2014-06-19,40,TRUE
DE_Bay_Mun_1_2014-09-03,40,TRUE
DE_Bay_Mun_1_2015-06-01,40,TRUE
DE_Bay_Mun_1_2015-09-01,40,TRUE
DE_Bay_Mun_1_2016-06-25,40,TRUE
DE_Bay_Mun_1_2016-09-01,40,TRUE
DE_Bay_Mun_1_2017-06-20,40,TRUE
DE_Bay_Mun_1_2017-09-03,40,TRUE
DE_Bay_Mun_1_2018-06-25,40,TRUE
DE_Bay_Mun_1_2018-09-09,40,TRUE
DE_Bay_Mun_1_2019-06-22,40,TRUE
DE_Bay_Mun_1_2019-09-02,40,TRUE
DE_Bay_Mun_1_2020-06-25,40,TRUE
DE_Bay_Mun_1_2020-09-05,40,TRUE
DE_Bay_Mun_1_2021-06-25,40,TRUE
DE_Bay_Mun_1_2021-09-04,40,TRUE
DE_Bay_Wue_1_2020-07-18,40,TRUE
DE_Bay_Wue_1_2020-09-23,40,TRUE
DE_Bay_Wue_1_2021-07-27,40,TRUE
DE_Bay_Wue_1_2021-10-18,40,TRUE
DE_Bra_Ber_1_2021-07-24,40,TRUE
DE_Bra_Ber_2_2021-07-24,40,TRUE
DK_Mid_Kar_1_2014-09-01,40,TRUE
DK_Mid_Kar_1_2014-11-25,40,TRUE
DK_Mid_Kar_1_2016-06-08,40,TRUE
DK_Mid_Kar_1_2016-09-15,40,TRUE
DK_Mid_Kar_1_2016-11-22,40,TRUE
DK_Mid_Kar_1_2017-08-08,40,TRUE
DK_Mid_Kar_1_2018-06-30,39,TRUE
DK_Mid_Kar_1_2018-10-05,40,TRUE
DK_Mid_Kar_1_2019-07-09,40,TRUE
DK_Mid_Kar_1_2019-10-01,40,TRUE
DK_Mid_Kar_1_2020-07-31,35,TRUE
DK_Mid_Kar_1_2020-10-31,40,TRUE
EC_Pic_Con_1_2019-06-26,40,TRUE
EG_Al_Cai_1_2011-01-16,29,TRUE
ES_Bal_Tom_1_2021-10-07,NA,TRUE
ES_Bar_Bar_1_2012-07-13,55,TRUE
ES_Bar_Bar_1_2012-10-16,29,TRUE
ES_Ciu_Man_1_2020-08-10,30,TRUE
ES_Ciu_Tom_1_2015-09-17,40,TRUE
ES_Ciu_Tom_1_2015-10-08,40,TRUE
ES_Ciu_Tom_1_2016-09-02,40,TRUE
ES_Ciu_Tom_1_2016-10-11,40,TRUE
ES_Ciu_Tom_1_2017-10-04,40,TRUE
ES_Ciu_Tom_1_2018-10-03,40,TRUE
ES_Ciu_Tom_1_2020-09-30,40,TRUE
ES_Ciu_Tom_1_2021-10-07,32,NA
ES_Gra_Ben_1_2016-10-08,40,TRUE
ES_Gra_Ben_1_2017-10-05,40,TRUE
ES_Gra_Cor_1_2015-08-08,40,TRUE
ES_Gra_Cor_1_2017-07-28,40,TRUE
ES_Gra_Gua_1_2015-09-12,40,TRUE
ES_Gra_Pur_1_2016-08-30,40,TRUE
ES_Ler_Gim_1_2014-08-13,40,TRUE
ES_Ler_Gim_1_2014-10-20,40,TRUE
ES_Ler_Gim_1_2015-06-28,40,TRUE
ES_Ler_Gim_1_2015-10-22,40,TRUE
ES_Ler_Gim_1_2016-08-25,40,TRUE
ES_Ler_Gim_1_2016-10-21,40,TRUE
ES_Ler_Gim_1_2017-07-24,40,TRUE
ES_Ler_Gim_1_2017-10-14,40,TRUE
ES_Ler_Gim_1_2018-08-25,40,TRUE
ES_Ler_Gim_1_2018-10-26,40,TRUE
ES_Ler_Gim_1_2019-08-25,40,TRUE
ES_Ler_Gim_1_2020-10-26,27,TRUE
ES_Ler_Gim_1_2021-08-31,23,TRUE
ES_Mad_Yep_1_2018-11-06,32,TRUE
ES_Tol_Vil_1_2018-10-07,40,TRUE
ES_Zar_Ose_1_2018-09-20,40,TRUE
ES_Zar_Pin_1_2018-10-10,18,TRUE
ET_Amh_Deb_1_2011-12-16,5,TRUE
ET_Gam_Gam_1_2011-12-16,20,TRUE
ET_Oro_Dod_1_2008-12-16,5,TRUE
ET_Oro_Fic_1_2011-12-16,63,TRUE
ET_Sou_Bon_1_2011-12-16,5,TRUE
ExpEvo_PRJEB5713_CO_1_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_CO_2_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_CO_3_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_CO_4_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_ContSys_1_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_ContSys_2_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_ContSys_3_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_ContSys_4_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_Control_1_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_Control_2_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_Control_3_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_Control_4_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_SIC_1_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_SIC_2_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_SIC_3_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_SIC_4_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_VSP_1_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_VSP_2_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_VSP_3_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_VSP_4_2014_MM_DD,NA,TRUE
ExpEvo_PRJEB5713_VirSys_1_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_VirSys_2_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_VirSys_3_2010-MM-DD,200,TRUE
ExpEvo_PRJEB5713_VirSys_4_2010-MM-DD,200,TRUE
ExpEvo_PRJNA170455_DMC1_1_1995_MM_DD,50,NA
ExpEvo_PRJNA170455_DMC1_2_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC1_3_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC1_4_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC2_1_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC2_2_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC2_3_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC2_4_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC3_1_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC3_2_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC3_3_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC3_4_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC4_1_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC4_2_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC4_3_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMC4_4_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS1_1_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS1_2_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS1_3_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS1_4_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS2_1_1995_MM_DD,50,NA
ExpEvo_PRJNA170455_DMS2_2_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS2_3_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS2_4_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS3_1_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS3_2_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS3_3_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS3_4_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS4_1_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS4_2_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS4_3_1995_MM_DD,50,TRUE
ExpEvo_PRJNA170455_DMS4_4_1995_MM_DD,50,NA
ExpEvo_PRJNA194129_BL_1_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_BL_2_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_BL_3_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_BL_4_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_BL_5_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_BL_6_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_BL_7_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_HF1_1_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_HF1_2_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_HF1_3_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_HF1_4_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_HF2_1_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_HS1_1_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_HS1_2_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_HS1_3_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_HS2_1_2010-06-DD,60,NA
ExpEvo_PRJNA194129_LS1_1_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_LS1_2_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_LS1_3_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_LS1_4_2010-06-DD,60,TRUE
ExpEvo_PRJNA194129_LS2_1_2010-06-DD,60,NA
ExpEvo_PRJNA285429_ACO1_A_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_ACO1_B_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_ACO_2_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_ACO_3_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_ACO_4_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_ACO_5_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_AO4_A_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_AO4_B_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_AO5_A_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_AO5_B_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_AO_1_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_AO_2_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_AO_3_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_B1_A_1980-MM-DD,1000,TRUE
ExpEvo_PRJNA285429_B1_B_1980-MM-DD,1000,TRUE
